mandal,electioncat,name,party
Agali,BC(W),Sailaja Ramakrishna,TDP
Amadugur,UR(W),P.Umadevi,TDP
Amarapuram,BC(W),K.Rathnamma,TDP
Ananthapuramu R,UR,M.Venugopal,TDP
Atmakur,SC,H.Kullayappa,YSRCP
B.K.Samudram,UR,K.Ramalinga Reddy,TDP
Bathalapalli,SC,A.Narasimhulu,YSRCP
Beluguppa,UR(W),Madineni Subhasini,TDP
Bommanahal,BC(W),Kondapuram Vani,TDP
Brahmasamudram,BC(W),Kuruba Gangamm,TDP
Bukkapatnam,UR(W),Pulakuntla Sreedevi,YSRCP
C.K.Palli,UR,K. Venkatarami Reddy,TDP
Chilamathur,UR,M. Lakshminarayanareddy,TDP
D.Hirehal,SC(W),H.Padmavathi,TDP
Dharmavaram,SC,Mekala Ramanjineyulu,TDP
Gandlapenta,BC(W),C.Sarojamma,TDP
Garladinne,UR(W),C. Vishalakshi,TDP
Gooty,UR,Praveen Kumar. N,YSRCP
Gorantla,UR(W),C Indiramma,TDP
Gudibanda,BC,Doctor D.Sreenivasamurthy,TDP
Gummagatta,BC,Boya Nagaraju,TDP
Guntakal,ST,N.Mathru Naik,TDP
Hindupur,BC,K.L.Adinarayana,TDP
Kadiri,BC(W),Mekala Prameelamma,YSRCP
Kalyandurg,SC,H.D.Kolla Purappa,TDP
Kambadur,UR,Rama Mohan,TDP
Kanaganapalli,UR,Bille Eswarayya,YSRCP
Kanekal,SC(W),Sharada,TDP
Kothacheruvu,UR(W),M. Mahalakshmi,TDP
Kudair,UR(W),P. Meri Nirmalamma,YSRCP
Kundurpi,BC,K.Mallikarjuna,TDP
Lepakshi,UR,Rg Adinarayana Reddy,TDP
Madakasira,UR(W),Y.K.Sulochanamma,TDP
Mudigubba,UR(W),P. Leelavathi,YSRCP
N.P.Kunta,UR(W),P.Maheswaramma,TDP
Nallacheruvu,UR(W),Nalabothu Nagarathnamma,TDP
Nallamada,UR,Jakkala Adisheshu,YSRCP
Narpala,UR(W),Alam. Shiresh,TDP
O.D.Cheruvu,UR,Pitta Obulareddy,TDP
Pamidi,ST(W),Ramavath Jaya Lakshmi,TDP
Parigi,BC,B.Suryanarayana,TDP
Peddapappur,UR(W),Gorla. Krishnakumari,TDP
Peddavadugur,UR,M.Chithambara Reddy,YSRCP
Penukonda,UR,N.Narayanaswamy,TDP
Putlur,BC(W),Jangampalli. Nallamma,YSRCP
Puttaparthi,ST(W),M.Yeshoda Bai,IND
Ramagiri,UR,D.Chaman Sab,TDP
Rapthadu,UR,Vennapusa Ravindrareddy,YSRCP
Rayadurg,BC,G.V.Vijayakumar,YSRCP
Roddam,BC,E.Chinnappaiah,TDP
Rolla,BC,V.M.Pandurangappa,TDP
Settur,BC(W),Kuchi Kavitha,TDP
Singanamala,UR(W),Ammaladinne Salini,TDP
Somandepalli,BC,Rangepalli Venkataramanappa,TDP
Tadimarri,BC(W),Kappala Padmavathi,YSRCP
Tadipatri,SC(W),K.Savithri,TDP
Talupula,UR(W),I. Jyothirmayi,YSRCP
Tanakal,BC(W),Jakkala Sreelatha,YSRCP
Uravakonda,SC(W),Lalitha,YSRCP
Vajrakarur,SC(W),Nancherla. Indiramma,YSRCP
Vidapanakal,SC,Singadi. Thippaiah,YSRCP
Yadiki,UR,"Vennapusapalli Venkata Rami 
Reddy",YSRCP
