mandal,president,party
Anantapur,Rekkapogula Hemalatha,TDP
Atmakur,D.Hanumantha Naik,INC
B.K.Samudram,Term Not Expired,_
Garladinne,Marri Reddy Sreenivasa Reddy,TDP
Gooty,K.S.Fairoz,TDP
Guntakal,N.Nagabhushanam,TDP
Kudair,K.Bramhaiah,TDP
Narpala,Nagappa,INC
Pamidi,B.C.Mastanaiah,INC
Peddapappur,T.Sailaja,INC
Peddavadugur,Lakki Reddy Raghunatha Reddy,INC
Putlur,Annadanam.Aruna Kumari,INC
Rapthadu,K.Veera Reddy,INC
Singanamala,Lakshmidevamma,TDP
Tadipatri,M.Krishnamma,INC
Uravakonda,A.C.Yerriswamy,INC
Vajrakarur,Teneti Sailaja,INC
Vidapanakal,V.Venkata Ramana Reddy,INC
Yadiki,Bala Ananthamma,INC
Yellanur,N.Yengamma,INC
Bathalapalli,C.Chinna Narayana,TDP
Beluguppa,Lingamma,TDP
Bommanahal,D.Lalu Sab,INC
Bramha-Samudram,G.Ramachandrappa,TDP
C.K.Palli,V.Govinda Reddy,TDP
D.Hirehal,H.Gangadhar,INC
Dharmavaram,Mondi Nagalakshmi,INC
Gummagatta,Yasodamma,INC
Kalyandurg,Choula Mallikarjuna,TDP
Kambadur,Talari Narasimhulu,TDP
Kanaganapalli,H.Alivelamma,TDP
Kanekal,A.Rajagopal Reddy,INC
Kundurpi,G.K.Sreenivasulu,INC
Ramagiri,D.Rangaiah,TDP
Rayadurg,G.Nagaraju Reddy,INC
Settur,B.Gangamma,CPI
Tadimarri,A.P.Mitramma,INC
Agali,Gangamma,INC
Amadagur,G.Narendra Reddy,TDP
Amarapuram,B.Krishna Murthy,TDP
Bukkapatnam,Peddaraju Lakshmidevi,TDP
Chilamathur,G.Bramaramba,TDP
Gandlapenta,D.Gangaraju,TDP
Gorantla,Tailor Fakruddin Saheb,TDP
Gudibanda,Lakshmamma,INC
Hindupur,S.Narasimhulu,TDP
Kadiri,K.Chakra Varadha Reddy,TDP
Kothaceruvu,Mangamathi Nagamani,TDP
Lepakshi,M.Anand Kumar,TDP
Madakasira,M.Shalini,INC
Mudigubba,M. Arunamma,INC
N.P.Kunta,Gandiketla Sujatha,TDP
Nallacheruvu,D.Symalamma,TDP
Nallamada,M.D.Lalithamma,INC
O.D.Cheruvu,Yeddula Sridhar Reddy,TDP
Parigi,V.Krishna Murthy,TDP
Penukonda,G.C.Venkata Ramudu,TDP
Puttaparthi,B.Ramulamma,TDP
Roddam,P.Subbaratnamma,TDP
Rolla,V.Devaraju,INC
Somandepalli,E.Venkatesulu,TDP
Talupula,A.Manohar Reddy,INC
Tanakal,Indla Nagalakshmamma,TDP
