mandal,name,party,electioncat,community,edu,age,sex
Anantapur,A.Gangadhara Reddy,TDP,UR,Kapu,B.Com,41,M
Atmakur,B.Madhusudhana,INC,BC,Boya,Intermediate,35,M
B.K.Samudram,G.Sreekanth Reddy,TDP,UR,Kapu,Degree,31,M
Garladinne,J.Padmavathi,TDP,SC(W),Madiga,4th Class,31,F
Gooty,B. Kamalakshmamma,TDP,SC(W),Mala,SSLC,59,F
Guntakal,K.Kalavathi,TDP,UR(W),OC,5th Class,29,F
Kudair,U.Nagasbhushanam,TDP,SC,Mala,5th Class,49,M
Narpala,A.Jayasimha,INC,UR,OC,Intermediate,31,M
Pamidi,D.Lakshmikanthamma,TDP,UR,Thogata (BC),BA,47,F
Peddapappuru,D.Nagasubbarayudu,INC,BC,Vadde,6th Class,27,M
Peddavaduguru,V.Harikrishna,INC,BC,Golla,10th Class,30,M
Putlur,E.Bharathi,INC,UR(W),Kapu,Intermediate,35,F
Rapthadu,T.Kavithamma,INC,UR(W),Kapu,M.A.,42,F
Singanamala,T.Sarathchandra Reddy,TDP,UR,Kapu,M.Com,49,M
Tadipatri,Y.Umadevi,INC,UR(W),Kapu,10th Class,33,F
Uravakonda,Gurram Sudhakar,INC,UR,Kamma,B.Com,46,M
Vajrakarur,SK.Tulasidas Naik,INC,ST,Sugali,Intermediate,40,M
Vidapanakal,K.Erramma,INC,BC(W),Boya,8th Class,39,F
Yadiki,A.Rajeswari,INC,UR(W),Kapu,B.Sc,26,F
Yellanur,Bala Polerappa,INC,SC,Madiga,10th Class,30,M
Bathalapalli,K.Sudha,TDP,UR(W),OC,MA (Lit),30,F
Beluguppa,Parvathaiah,TDP,SC,Madiga,10th Class,37,M
Bommanahal,P.Nalla Reddy,INC,UR,Kapu,PUC,60,M
BramhasamudraM,HB.Gangappa,TDP,SC,Magida,7th Class,44,M
C.K.Palli,E.Parimala,TDP,UR,Kapu,Intermediate,39,F
D.Hirehal,Sreeram Jyothi,INC,UR(W),Padmasali,SSC,30,F
Dharmavaram,Konda Varipalli Laxmidevi,INC,BC(W),Boya,B.Com,27,F
Gummagatta,Harijana Vannurappa,TDP,SC,Madiga,SSC,34,M
Kanekal,P.Nagireddy,INC,UR,Kapu,Intermediate,42,M
Kalyandurg,Ramanna,TDP,UR,Boya,,54,M
Kambadur,Rama Mohan,TDP,UR,Kamma,B.Com,39,M
Kanaganapalli,Anke Laxmanna,INC,BC,Boya,5th Class,39,M
Kundurpi,Rajagopal,INC,SC,Madiga,5th Class,27,M
Ramagiri,K.Rama Murthy,TDP,UR,OC,BA,47,M
Rayadurg,Rajasekhar Reddy,INC,UR,Kapu,SSC,45,M
Settur,Padamati Lingamaiah,TDP,BC,Boya,6th Class,47,M
Tadimarri,A.B.Nagabhushanam,INC,SC,Madiga,SSLC,59,M
Agali,KN.Gopinath,INC,BC,Boya,SSC,39,M
Amadagur,Peddaka Sreenivasareddy,TDP,UR,Kapu,SSC,49,M
Amarapuram, B.C. Chithanna,INC,BC,Golla,BA,44,M
Bukkapatnam,P.Brundamma,INC,UR,Kapu,"MA,",67,F
Chilamathur,N.Varalakshmi,TDP,UR(W),Devanga,Intermediate,40,F
Gandlapenta,Bhukya Charilamma,TDP,ST(W),sugali,Intermediate,47,F
Gorantla,C.Gopal Reddy,TDP,UR,Kapu,B.Com,48,M
Gudibanda,G.B. Sivakumar,INC,UR,OC,"B.Sc, B.Ed.",41,M
Hindupur,T.Gangaratnamma,TDP,BC(W),Boya,7th Class,34,F
Kadiri,Lingala Aurna,TDP,UR(W),Kapu,10 th Class,35,F
Kothacheruvu,Pulacherla Gaffar,TDP,BC,Dudekula,SSC,55,M
Lepakshi,N.T. Ramanjinamma,TDP,SC(W),Madiga,Intermediate,27,F
Madakasira,G.A.Narasimhamurthy,INC,BC,Boya,BA,33,M
Mudigubba,Reddyvari Nagaraju,INC,BC,Gandla,SSC,33,M
N.P.Kunta,Tatiparti Raghavaiah,TDP,UR,Vadde,5th Class,37,M
Nallacheruvu,Vadalapalli Abdhul Khadir,TDP,BC,Dudekula,5th Class,58,M
Nallamada, Muddala Narasimhulu,INC,BC,Boya,HSLC,54,M
O.D. Cheruvu,Eddula Hanumanthareddy,INC,UR,Kapu,SSLC,69,M
Parigi, P.Jayalakshmi,TDP,UR,Kuruba,B.Sc,24,F
Penukonda,Sreenivasulu,TDP,UR,Kuraba,Intermediate,33,M
Puttaparthy,Kogira Suvarna,INC,BC(W),Chakali,6th Class,42,F
Roddam,Padma,TDP,BC(W),Golla,7th class,30,F
Rolla,G.Sanna Thimmappa,INC,UR,Golla (BC),"BA, B.Ed",55,M
Somandepalli,2) M.Subhasini,TDP,UR(W),Kapu,BA,24,F
Talupula,Pattu Pogula Chandrakala,TDP,BC(W),Thogata,5th Class,29,F
Tanakal, N.Swarnalatha,TDP,UR,Kapu,10th Class,31,F
